longitude,latitude
-117.67,34.12
-118.16,34.06
-124.09,40.87
-116.95,32.81
-118.4,34.04
-118.42,34.01
-118.13,34.09
-118.14,34.7
-121.95,37.26
-122.03,37.37
-117.67,33.46
-118,34.13
-118.16,34.03
-121.03,37.67
-118.57,34.2
-121.98,37.8
-117.9,33.63
-121.86,37.22
-118.36,33.88
-121.63,38.04
-119.57,37.94
-118.15,33.96
-121.91,37.26
-118.29,33.98
-118.57,34.22
-121.89,37.23
-118.36,34.09
-118.21,33.8
-121.9,37.27
-121.41,39.04
-117.86,33.91
-118.01,34.11
-117.28,32.83
-122.05,37.59
-121.65,39.16
-118.41,34.02
-119.69,36.73
-120.76,37.44
-118.25,33.86
-118.16,34.07
-118.03,33.77
-118.44,34.19
-118.72,34.14
-117.14,32.75
-121.91,37.32
-117.61,34.13
-117.44,34.45
-118.33,34.1
-121.27,37.96
-121.11,38.91
-118.27,33.95
-120.43,34.7
-117.85,33.85
-117.32,34.17
-119.36,36.21
-119.63,36.35
-122.1,37.4
-121.95,37.34
-116.98,32.86
-117.06,32.76
-121.98,37.36
-122.4,38.46
-117.73,34.05
-120.32,37.29
-118.58,34.19
-122.27,40.53
-118.1,33.96
-122.44,38.57
-117.92,33.7
-120.02,37.72
-119.87,36.83
-121.33,38.68
-117.14,32.7
-122.46,37.79
-120.71,37.38
-118.34,33.8
-118.27,33.91
-117.22,33.31
-119.65,36.34
-120.72,37.38
-117.18,33.51
-118.83,34.14
-118.34,34.1
-117.9,33.74
-122.64,41.73
-117.13,32.94
-117.84,33.89
-120.97,37.63
-121.61,36.67
-121.74,36.79
-118.44,35.75
-117.11,32.9
-123.22,39.15
-121.94,36.97
-118.14,34.04
-122.76,38.46
-117.87,33.63
-118.33,34.16
-117.94,33.71
-120.45,34.63
-117.77,34.11
-118.45,34.19
-119.58,36.83
-117.71,34.1
-117.36,34.09
-121.96,37.28
-122.44,37.76
-117.93,33.85
-122.72,38.42
-118.63,34.19
-117.98,33.8
-122.65,38.48
-122.33,37.55
-118.34,33.99
-119.22,34.34
-122.33,37.58
-118.02,33.79
-122.04,38
-122.64,38.87
-122.43,37.74
-119.19,34.21
-117.88,33.7
-118.3,33.84
-117.8,34.15
-118.32,33.85
-119.13,34.19
-121.94,37.32
-117.18,32.69
-120.73,37.38
-122.49,38.27
-117.11,32.84
-118.16,33.93
-119.18,34.17
-119.47,35.14
-121,35.94
-117.38,33.21
-121.16,38.68
-122.48,37.72
-118.13,34.16
-121.8,37.23
-118.37,34.21
-122.24,37.81
-122.41,37.74
-122.02,37.33
-120.83,37.58
-118.39,34.21
-122.45,37.67
-122.3,37.52
-118.36,34.08
-118.44,34.26
-122.17,37.43
-120.06,36.72
-117.22,32.81
-118.19,33.95
-122.04,37.89
-122.26,38.14
-121.45,38.7
-118.14,33.84
-118.32,34.06
-122.24,37.84
-122,37.51
-118.29,33.82
-122.32,41.31
-124.19,41.78
-117.84,33.8
-122.47,37.75
-117.03,34.91
-121.8,37.31
-118.21,34.08
-118.46,34.27
-118.46,34.07
-118.49,34.03
-118.58,34.17
-119.29,36.35
-119.73,36.62
-118.03,33.97
-119.58,36.1
-122.14,37.08
-117.05,32.68
-121.43,38.56
-118.45,34.04
-118.1,34.02
-118.14,34.18
-118.4,33.78
-118.43,34.17
-122.44,37.8
-121.87,39.82
-117.11,32.91
-121.44,38.69
-118.4,34.16
-117.25,32.79
-121.33,38.02
-118.45,34.16
-122.45,37.77
-118.94,35.37
-117.11,32.75
-117.12,32.75
-121.29,37.72
-117.08,33.82
-121.48,36.49
-118.46,34.19
-117.81,33.87
-122.38,37.73
-118.43,34.33
-121.79,37.31
-117.06,32.57
-121.94,37.54
-122.71,38.45
-121.85,37.33
-117.77,33.71
-117.05,32.61
-122.1,37.39
-116.57,35.43
-117.17,34.03
-122.04,38.28
-116.45,33.78
-122.26,37.87
-118.19,34.06
-117.07,33.11
-122.03,37.93
-121.62,39.13
-117.91,33.75
-118.15,33.77
-122.06,37.64
-117.98,33.75
-123.2,39.15
-117.04,32.63
-122.41,37.78
-117.95,33.66
-118.26,34.06
-117.67,33.66
-117.27,34.06
-122.55,37.91
-119.69,36.83
-122.51,38
-117.45,33.92
-118.1,33.98
-121.37,38.68
-118.45,34
-121.98,37.33
-122.28,37.81
-122.03,37.31
-118.35,33.94
-122.01,37.27
-121.21,37.8
-117.12,32.76
-118.36,33.89
-117.93,33.88
-118.31,33.88
-121.52,38.65
-121.13,36.21
-121.86,36.6
-118.27,33.79
-118.49,34.23
-118.11,34.04
-121.91,36.63
-119.34,35.6
-118.31,34.1
-121.23,38.12
-118.06,33.83
-117.1,32.72
-121.37,38.41
-119.73,36.56
-117.95,33.81
-118.3,33.97
-122.45,37.63
-117.33,34.14
-119.02,34.26
-121.81,37.31
-119.27,34.28
-118.43,34.07
-122.38,37.59
-117.79,33.68
-119.33,36.22
-118.24,34.22
-117.44,33.88
-117.1,32.68
-118.33,34.17
-117.66,33.51
-120.57,35.12
-119.24,34.27
-119.55,36.52
-117.04,34.03
-121.37,38.63
-116.15,33.64
-117.43,34.1
-119.68,36.63
-117.8,33.74
-117.89,33.84
-117.92,33.76
-117.24,32.79
-118.13,34.17
-122.68,38.46
-117.86,33.8
-117.23,34.51
-117.87,33.87
-117.89,33.6
-122.03,37.28
-118.95,35.32
-117.9,33.78
-117.74,33.62
-118.41,33.9
-117.97,33.68
-118.1,33.94
-118.06,34.14
-118.44,34.31
-121.87,37.3
-122.04,36.97
-121.05,38.92
-121.76,36.83
-117.18,32.79
-117.07,33.03
-117.13,32.76
-117.01,32.8
-117.12,34.21
-121.49,38.56
-118.33,34.24
-122.41,37.8
-119.74,36.83
-117.95,33.74
-118.43,34.06
-118.28,34
-118.24,33.97
-120.95,35.44
-121.04,38.81
-117.81,33.74
-121.24,38.79
-122.44,37.67
-121.28,38.68
-122.67,38.24
-119.72,34.43
-117.81,33.56
-118.39,33.92
-119.75,36.87
-117.91,33.91
-122.25,37.79
-118.28,33.97
-124.09,40.88
-122.42,37.77
-120.48,37.31
-117.24,33.11
-117.9,34.01
-118.01,34.05
-122.16,37.48
-118.1,34.1
-118.02,33.96
-121.04,37.68
-118.22,34.09
-121.08,38.89
-117.15,33.7
-121.56,37
-117.28,33.94
-118.2,33.93
-121.98,36.97
-117.8,33.75
-122.07,37.63
-118.37,34.18
-118.36,34.17
-118.23,34.18
-119.16,34.23
-122.46,37.68
-122.46,37.59
-121.31,38.72
-119.08,35.39
-118.14,33.78
-117.08,32.91
-121.03,37.63
-117.85,33.87
-118.19,33.78
-118.29,33.99
-122.46,37.78
-122.02,37.24
-117.3,34.1
-119.21,34.19
-119.68,37.19
-118.24,34.12
-122.27,37.8
-119.83,36.37
-119.12,34.23
-120.38,36.15
-117.98,34.02
-118.39,33.81
-118.45,34.25
-117.13,32.97
-118.02,34.09
-121.89,37.28
-118.17,33.85
-121.95,36.98
-121.49,38.5
-122.49,37.74
-120.9,37.66
-120.59,34.7
-122.3,37.86
-117.08,32.68
-116.99,32.74
-121.84,37.32
-122.04,38.24
-117.97,33.94
-117.99,34.07
-118.08,34.09
-121.48,38.57
-118.29,34.05
-118.1,33.91
-117.72,33.43
-120.1,38.91
-122.14,37.43
-122.26,38.03
-119.02,36.06
-117.85,34.11
-121.43,38.52
-120.35,39.34
-117.11,32.59
-117.25,33.19
-121.47,38.52
-121.35,38.46
-120.25,37.04
-118.34,34.08
-119.88,36.85
-117.99,34.18
-117.22,33.21
-121.99,38.35
-122.45,37.78
-121.47,38.58
-117.31,34.51
-115.58,32.79
-118.2,34.06
-117.18,34.54
-121.87,37.23
-118.21,34.07
-121.66,36.7
-122.49,37.98
-117.04,32.58
-118.31,34.02
-118.29,33.93
-118.11,33.85
-121.06,39.21
-118.12,33.82
-122.29,38.31
-116.97,32.79
-116.57,33.76
-117.71,33.54
-116.96,32.81
-114.62,33.62
-117.15,32.7
-117.15,34.83
-118.32,34.01
-117.89,33.71
-119.85,36.82
-117.14,33.18
-121.63,39.12
-122.47,37.81
-122.3,37.87
-121.26,38.66
-122.09,37.95
-121.65,36.67
-118.35,33.97
-122.17,37.73
-119.87,36.81
-121.32,38.02
-117.02,32.78
-117.93,34.03
-122.47,37.78
-122.43,37.8
-122.04,37.39
-122.32,37.56
-121.71,38.72
-122.07,37.38
-121.96,37.23
-122.14,37.47
-118.4,33.97
-119.77,36.83
-118.12,33.93
-118.31,34.05
-121.92,37.45
-120.42,38.42
-120.37,38.25
-122.35,37.53
-122.39,37.76
-117.09,32.99
-117.23,32.75
-122.48,38.31
-119.92,38.91
-122.08,37.7
-118.58,34.25
-117.78,33.86
-118.28,34.17
-122.28,37.78
-124.13,40.8
-118.17,34.05
-118.27,33.99
-117.9,34.08
-118.47,34.14
-118.36,33.81
-119.69,34.43
-116.75,33.83
-120.44,34.91
-117.01,34.89
-122.03,37.32
-117.25,33
-119.74,34.35
-121.3,38.58
-120.28,38.03
-118.18,33.9
-118.01,34.14
-117.16,33.57
-119.49,34.39
-118.59,34.18
-118.43,34.24
-121.87,37.67
-117.91,33.61
-122.06,37.68
-120.41,34.88
-116.39,33.72
-121.46,38.65
-117.89,34.09
-122,37.39
-122.18,37.89
-118.3,34.19
-119.48,37
-118.34,34.01
-122.26,37.9
-121.66,36.71
-119.01,35.37
-122.61,38.24
-117.93,33.94
-122.12,37.68
-117.21,32.83
-119.07,36.07
-122.04,37.31
-119.11,36.29
-117.39,34.12
-121.87,37.39
-117.09,32.7
-121.99,39.15
-117.32,34.03
-121.33,37.98
-117.83,33.99
-118.25,33.94
-120.92,37.65
-122.11,37.39
-121.94,37.34
-121.58,37.01
-122.31,37.94
-122.44,37.72
-122.5,38.35
-118.45,37.37
-121.08,38.95
-121.39,38.61
-120.96,37.59
-122,38.37
-119.98,36.86
-119.04,36.09
-117.16,32.78
-118.25,33.92
-117.89,33.61
-117.92,34.05
-117.91,33.86
-117.92,33.8
-118.42,33.99
-118.25,34.09
-118.34,34.09
-118.17,34.11
-117.89,34.1
-118.32,34.18
-121.88,38
-116.98,32.68
-122.43,37.66
-119.71,34.41
-117.92,34.1
-122.21,37.84
-118.36,33.86
-121.38,38.7
-117.04,32.77
-120.69,35.28
-119.81,36.8
-119.34,36.2
-118.13,34.07
-120.55,38.46
-117.6,33.45
-115.84,33.49
-121.66,36.67
-118.28,34.07
-118.26,34.15
-118.23,34.21
-120,38.9
-122.84,38.42
-120.4,34.95
-117.45,34.07
-117.48,34.09
-118.48,34.02
-118.17,34.61
-116.97,33.96
-118.32,34.08
-118.24,33.95
-118.02,34.06
-121.82,38.01
-118.25,34.13
-117.26,33.19
-118.31,34.26
-117,32.85
-118.07,34.07
-117.1,32.67
-118.2,33.79
-118.24,34.07
-121.86,37.27
-119.73,36.76
-118.26,34.02
-122.03,37.34
-116.85,34.26
-121.99,37.96
-120,38.92
-122.02,37.6
-122.61,38.25
-118.28,33.95
-118.36,34.05
-121.49,38.57
-118.48,34.24
-121.8,38.67
-122.26,37.77
-117.03,32.61
-121.2,38.66
-121.94,37.24
-122.27,37.87
-121.8,36.68
-122.83,38.96
-117.89,33.68
-121.47,38.55
-117.67,33.44
-120.62,35.13
-117.88,33.88
-117.86,34.09
-122.9,39.17
-119.71,34.4
-118.4,37.36
-121.96,37.27
-122.04,38.68
-121.26,38.27
-121.94,36.99
-117.07,32.56
-118.6,34.13
-117.96,33.79
-122.02,36.96
-121.28,37.83
-118.33,34.02
-122.24,38.14
-121.7,39.37
-117.83,33.79
-122.63,38.94
-118.19,34.05
-117.28,34.14
-118.25,33.99
-119.7,34.47
-118.19,33.93
-122.03,37
-117.23,32.8
-117.09,33.13
-122.18,37.72
-117.09,33.15
-122.62,38.95
-118.13,34.02
-118.01,33.95
-120.55,38.12
-121.28,38.03
-121.36,38.6
-117.31,34.13
-123.17,40.31
-118.11,34
-121.45,38.54
-120.68,35.48
-122.31,37.53
-120.72,38.42
-120.9,38.2
-119.95,38.95
-117.22,32.74
-118.39,37.37
-118.13,34.15
-121.94,38.27
-117.31,33.18
-120.86,37.5
-122.46,37.63
-121.31,37.81
-118.17,34.87
-118.43,34.25
-121.26,37.95
-118.21,33.82
-120.94,37.61
-117.16,33.61
-122.28,37.52
-121.53,39.52
-118.26,33.92
-118.07,33.67
-117.91,33.73
-118.33,33.91
-118.05,33.78
-121.06,37.67
-119.35,36.42
-121.89,37.35
-121.27,38.74
-117.28,33.18
-119.2,36.28
-122.28,37.8
-119.76,36.82
-119.68,36.31
-118.52,34.39
-119.79,36.77
-118.71,34.29
-117.17,33.34
-122.36,40.69
-121.48,38.54
-118.17,33.98
-124.16,40.78
-122.24,37.49
-120.54,38.07
-119.15,34.17
-119.19,36.34
-121.09,38.97
-118.4,33.96
-122.42,37.61
-121.51,38.53
-118.39,33.99
-118.22,34.13
-118.09,33.87
-118.24,34.15
-121.87,37.22
-122.21,37.43
-118.3,34.11
-117.57,34.02
-118.08,34.01
-121.17,38.68
-118.22,34.19
-121.88,37.34
-122.09,37.39
-117.47,33.95
-120.31,37.29
-118.28,33.68
-118.09,34.01
-122.08,37.04
-117.7,33.47
-122.22,37.36
-118.18,33.96
-122.33,37.57
-117.9,33.73
-121.44,38.55
-118,35.05
-117.51,34.41
-117.26,34.16
-117.14,32.71
-121.97,37.77
-121.06,37.66
-122.33,41.86
-118.02,33.76
-121.37,38.67
-121.28,38.1
-118.04,33.83
-115.38,32.82
-117.22,32.73
-118.83,35.27
-123.79,39.5
-122.17,37.78
-118.2,34.04
-122.49,37.54
-120.43,34.89
-118.24,34.01
-122.44,37.73
-118.23,34.13
-118.52,34.22
-117.7,34.04
-122.46,37.88
-118.01,33.79
-118.41,33.99
-117.71,34.06
-121.61,36.69
-118.43,34.01
-122.25,37.86
-117.19,32.86
-117.59,33.88
-119.3,36.57
-118.37,34.06
-119.23,35.78
-122.59,37.97
-118.31,33.99
-119.8,37.5
-118.45,34.15
-121.36,38.61
-118.16,33.91
-118.04,33.82
-118.39,34.07
-119.03,34.22
-118.17,34.18
-117.21,33.93
-118.12,34.08
-118.1,33.79
-122.25,37.82
-119.84,36.82
-117.16,32.74
-117.99,33.98
-122.5,37.76
-121.93,36.59
-121.53,39.44
-117.27,34.16
-120.62,35.11
-119.77,34.44
-118.2,33.94
-117.66,34.08
-122.26,38.36
-121.88,37.27
-121.81,37.99
-122.13,40.01
-117.15,33.2
-117.85,33.84
-118.24,34.16
-117.81,33.82
-118.09,33.75
-117.09,32.83
-120.64,35.15
-120.77,37.01
-120.83,35.33
-118.31,34.08
-117.36,33.97
-118.02,33.83
-121.01,37.69
-118.49,34.14
-118.31,33.84
-115.52,32.77
-122.18,37.81
-118.03,34.1
-118.22,33.89
-121.12,35.58
-116.14,34.45
-118.86,34.21
-122.62,38.92
-119.17,34.2
-118.38,34.05
-118.75,34.18
-115.56,32.79
-117.63,34.07
-121.01,37.68
-118.44,35.13
-121.42,38.51
-118.31,33.93
-118.13,33.84
-122.85,38.37
-114.55,32.8
-121.97,37.79
-118.16,34.02
-118.36,34.03
-122.02,37.98
-121.42,38.22
-118.24,33.93
-119.61,36.59
-118.41,34.01
-118.11,34.14
-117.23,34.11
-122.37,37.93
-117.58,33.92
-121.32,37.96
-118.18,34.03
-118.07,34.16
-122.42,37.79
-118.36,33.95
-120.71,35.27
-118.38,33.86
-118.28,33.82
-119.01,36.02
-118.28,34.06
-118,33.66
-121.03,37.68
-117.3,33.06
-118.03,33.78
-118.27,33.82
-117.71,33.61
-117.64,34.07
-118.15,34.1
-121.78,38.67
-119.06,34.23
-117.12,32.7
-118.14,33.97
-119.27,35.87
-123.01,38.67
-121.46,38.58
-118.09,33.93
-122.04,37.97
-117.36,33.99
-121.29,38.61
-118.19,34.67
-121.21,39.24
-117.99,33.73
-122.2,37.77
-121.24,38.68
-121.48,38.59
-117.98,33.94
-118.39,33.97
-118.37,34.11
-117.99,33.68
-116,33.19
-121.65,39.35
-117.33,33.03
-121.54,38.59
-117.2,32.85
-122.11,37.44
-119.61,34.43
-116.9,33.03
-118.52,34.19
-122.03,37.36
-120.02,38.86
-118.08,33.96
-117.08,34.08
-118.32,34.16
-122.49,37.86
-117.93,33.93
-118.29,34.1
-122.44,37.77
-117.12,32.91
-120.98,37.79
-120.8,35.33
-118.4,34.01
-118.14,34.13
-119.71,36.83
-118.33,33.86
-119.83,36.79
-121.22,37.82
-120.96,37.77
-121.83,37.33
-116.87,34.24
-122.19,37.48
-122.41,38.16
-121.89,37.99
-117.99,33.79
-117.26,33.02
-118.13,34.13
-122.34,37.95
-118.43,34.43
-119.33,36.32
-118.11,34.68
-122.12,37.94
-116.06,34.15
-122.09,39.13
-118.57,34.09
-118.25,33.96
-121.5,38.53
-119.71,36.8
-121.37,38.61
-118.49,34.02
-117.12,33.52
-117.98,33.92
-117.85,34.12
-118.31,33.98
-122.3,40.45
-118.23,33.97
-120.36,40.45
-121.87,37.34
-122.72,38.44
-121.32,36.79
-118.29,33.94
-119.74,36.8
-122.28,37.84
-118.02,33.9
-121.78,37.34
-117.41,34.11
-120.82,35.31
-121.52,38.9
-123.21,39.07
-122.42,40.59
-118.19,34.16
-118.3,34.17
-118.15,33.84
-118.3,34.09
-118.45,34.2
-118.06,33.8
-122.31,40.89
-117.54,34.47
-121.3,38.04
-117.81,33.73
-122.4,38.53
-118.34,34
-118.96,35.4
-114.59,33.61
-117.41,33.96
-122.47,38.3
-119.75,36.8
-118.28,34.11
-118.4,33.9
-122.2,39.15
-122.25,37.48
-116.9,33.22
-117.62,33.43
-116.99,32.78
-124.13,40.79
-118,33.67
-122,37.36
-117.91,34.1
-119.45,36.09
-117.19,33.34
-119.08,37.78
-118.21,34.14
-117.74,34.05
-122.24,37.43
-122.35,38.3
